period,bot,total_trades,win_rate,avg_rr,profit_factor,max_consec_losses,max_drawdown_pct,sharpe_ratio,avg_trade_duration_min,avg_lot_size,total_pnl,final_balance,net_return_pct
2025-12-01 -> 2025-12-16,Bot 1: London 1%,46,45.65,1.35,1.135,6,-7.75,20.105,3.5,0.066,35.76,1035.76,3.58
2025-12-01 -> 2025-12-16,Bot 2: London 2%,46,45.65,1.33,1.119,6,-15.21,17.857,3.5,0.132,62.68,1062.68,6.27
2025-12-01 -> 2025-12-16,Bot 3: London+NY 1%,113,49.56,1.38,1.356,6,-6.52,44.252,4.2,0.056,235.11,1235.11,23.51
2025-12-16 -> 2026-01-16,Bot 1: London 1%,78,50.0,1.38,1.376,4,-5.7,46.129,4.2,0.057,160.73,1160.73,16.07
2025-12-16 -> 2026-01-16,Bot 2: London 2%,78,50.0,1.38,1.379,4,-10.97,46.266,4.2,0.117,331.14,1331.14,33.11
2025-12-16 -> 2026-01-16,Bot 3: London+NY 1%,186,43.01,1.38,1.039,7,-11.81,5.685,4.0,0.042,41.65,1041.65,4.16
2026-01-16 -> 2026-02-16,Bot 1: London 1%,85,52.94,1.48,1.66,7,-7.53,74.77,3.9,0.033,315.16,1315.16,31.52
2026-01-16 -> 2026-02-16,Bot 2: London 2%,85,52.94,1.36,1.535,7,-14.76,63.254,3.9,0.075,596.19,1596.19,59.62
2026-01-16 -> 2026-02-16,Bot 3: London+NY 1%,200,52.5,1.43,1.579,12,-11.49,66.385,3.6,0.033,850.37,1850.37,85.04
2026-02-16 -> 2026-03-16,Bot 1: London 1%,114,48.25,1.41,1.311,11,-10.83,44.009,3.2,0.035,195.53,1195.53,19.55
2026-02-16 -> 2026-03-16,Bot 2: London 2%,114,48.25,1.47,1.372,11,-20.57,51.783,3.2,0.07,451.87,1451.87,45.19
2026-02-16 -> 2026-03-16,Bot 3: London+NY 1%,239,44.35,1.5,1.198,11,-15.67,27.162,3.7,0.03,262.96,1262.96,26.3
